"","abv","ibu","id","name","style","brewery_id","ounces"
"576",5.2,30,2036,"Getaway","German Pilsener",244,16
"1858",5.5,NA,2035,"Kolschtal Eddy","Kölsch",33,16
"1433",4,NA,1681,"Wasatch Apricot Hefeweizen","Fruit / Vegetable Beer",302,12
"1564",4.8,NA,365,"BRIK Irish Red Ale","Irish Red Ale",440,16
"1237",9,75,1825,"Squatters Hop Rising Double IPA","American Double / Imperial IPA",302,12
"1150",6.2,70,1177,"Mutiny IPA","American IPA",192,12
"1098",6.8,65,1521,"Modus Hoperandi","American IPA",264,12
"690",5.3,35,7,"Mama's Little Yella Pils","Czech Pilsener",166,12
"1609",5,NA,62,"U.S. Pale Ale","American Pale Ale (APA)",192,12
"25",4.6,8,2584,"Gose","Gose",41,16
"867",5.5,45,2590,"Czech Yo Self","Czech Pilsener",36,12
"1658",5,NA,40,"Atlantic Amber Ale (2007)","American Amber / Red Ale",410,12
"1211",5.9,75,972,"Rude Parrot IPA","American IPA",481,16
"1685",5,NA,1169,"Ol' Factory Pils","German Pilsener",435,12
"1535",4.7,NA,2192,"Occidental Hefeweizen","American Pale Wheat Ale",200,16
"1991",6,NA,582,"Balt Altbier","Altbier",71,12
"892",7,46,2618,"Thai.p.a","American IPA",20,16
"2326",9.3,NA,2657,"Blackbeard","American Double / Imperial Stout",5,12
"372",4.9,22,631,"Flagship Ale","Cream Ale",379,12
"70",6.1,11,1705,"Wick For Brains","Pumpkin Ale",337,12
"1393",6.5,115,1492,"Blazing World","American Amber / Red Ale",209,16
"855",5,45,2602,"Citrafest","American IPA",27,16
"191",5.1,17,1030,"Country Pale Ale","English Pale Ale",295,12
"1401",9.7,120,15,"Abrasive Ale","American Double / Imperial IPA",61,16
"694",5.5,35,1928,"Cape Cod Red","American Amber / Red Ale",267,16
"1607",5,NA,1267,"Black Rabbit","American Black Ale",10,16
"1110",7.6,65,1895,"Groupe G","Belgian IPA",280,16
"480",6,25,1672,"Riverwalk Blonde Ale","American Blonde Ale",346,12
"809",4.7,42,1223,"All Day IPA","American IPA",15,12
"1035",8.7,60,733,"Gordon Beer (2006)","American Double / Imperial IPA",503,12
"457",5,25,2142,"Screamin’ Pumpkin","Pumpkin Ale",124,16
"1940",6,NA,2040,"Arjuna","Witbier",193,12
"1360",6.3,100,879,"Dagger Falls IPA","American IPA",309,12
"2121",6.7,NA,345,"Upslope Brown Ale","English Brown Ale",51,12
"1135",6.3,69,2497,"Wobble","American IPA",74,16
"2267",8,NA,1914,"Beelzebub","American Double / Imperial Stout",272,16
"672",4.8,35,890,"Payette Pale Ale","American Pale Ale (APA)",307,12
"84",5,12,773,"Blueberry Blonde Ale","American Blonde Ale",299,12
"852",4.6,45,1749,"Just IPA","American IPA",328,12
"172",6.8,16,2160,"Joey Wheat","American Pale Wheat Ale",24,16
"264",3.9,20,2393,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"2174",7,NA,1753,"Heyoka IPA","American IPA",327,16
"1617",5,NA,2351,"Behemoth","American Pilsner",139,12
"688",5.3,35,1594,"Maylani's Coconut Stout","American Stout",367,16
"1312",8.5,86,1265,"Old Grogham Imperial India Pale Ale","American Double / Imperial IPA",387,16
"1990",6,NA,1189,"Honeyspot Road White IPA","American White IPA",435,12
"1423",4,NA,2358,"Minhas Light (2012)","Light Lager",134,12
"1000",5.8,60,1085,"Rise-Up Red (2014)","American Amber / Red Ale",80,16
"498",5.3,26,429,"Ninja Porter","American Porter",528,12
"748",5.6,37,400,"Sierra Nevada Pale Ale","American Pale Ale (APA)",83,12
"905",5.3,48,190,"483 Pale Ale (2010)","American Pale Ale (APA)",365,16
"1032",7.4,60,1302,"Blur India Pale Ale","American IPA",432,12
"2122",6.8,NA,2207,"Golden One","Belgian Pale Ale",193,12
"1477",4.5,NA,1773,"12 Man Pale Ale","American Pale Ale (APA)",319,12
"156",4.8,16,2419,"Bunker Hill Blueberry Ale ","Other",103,12
"828",7,42,1778,"On the Count of 3 (2015)","Hefeweizen",292,16
"1230",7.2,75,2620,"Saucy Intruder","Rye Beer",18,16
"268",3.9,20,2389,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"2218",7.5,NA,481,"Threadless IPA","American IPA",256,16
"2225",7.5,NA,122,"Golden Frau Honey Wheat","Braggot",282,12
"2140",6.8,NA,1433,"Hat Trick Hop IPA","American IPA",409,16
"2295",8.5,NA,768,"Full Moon Belgian White Ale","Witbier",507,12
"662",8.5,34,2575,"Wooden Rooster","Tripel",45,16.9
"722",8.6,35,1291,"Narragansett Bohemian Pilsner","German Pilsener",143,16
"1683",5,NA,114,"Triangle White Ale","Witbier",524,12
"1133",6.3,69,107,"Avery India Pale Ale","American IPA",37,12
"1003",5.8,60,1117,"Devil's Harvest Extra Pale Ale","American Pale Ale (APA)",133,16
"1354",9,99,672,"Hop A Potamus Double Dark Rye Pale Ale","Rye Beer",365,16
"1301",8.8,85,42,"Gandhi-Bot Double IPA (16 oz.) (2010)","American Double / Imperial IPA",410,16
"555",5.2,29,1571,"Slow Hand Stout","American Stout",377,16
"1432",4,NA,1826,"Squatters Full Suspension Pale Ale","American Pale Ale (APA)",302,12
"1512",4.6,NA,1731,"Peaches & Cream","Fruit / Vegetable Beer",201,16
"494",5.1,26,1711,"Moose Drool Brown Ale","American Brown Ale",336,12
"856",5,45,602,"Boji Blue Pale Ale","American Pale Ale (APA)",471,16
"1939",6,NA,2337,"Charlie's Rye IPA","American IPA",146,16
"196",6.2,17,390,"Whitsun","American Pale Wheat Ale",541,12
"2329",9.6,NA,2206,"Bitter Biker Double IPA","American Double / Imperial IPA",175,16
"1436",4.1,NA,2465,"Mind Games","Dunkelweizen",10,16
"2038",6.3,NA,1227,"Hoppy Bitch IPA","American IPA",450,16
"18",5.3,7,1144,"Samuel Adams Summer Ale","American Pale Wheat Ale",300,12
"315",5.3,20,1153,"Lumberyard Pilsner","American Pilsner",158,12
"1364",7,100,1176,"Redacted Rye IPA","American IPA",110,16
"1175",7,70,2566,"Flying Mouse 4","American IPA",50,12
"1232",7.2,75,2045,"Might As Well IPL","American Pale Lager",240,16
"487",9.2,25,1770,"Voodoo Love Child","Tripel",322,12
"497",5.2,26,1201,"Striped Bass Pale Ale","American Pale Ale (APA)",237,12
"349",5.2,21,2237,"Towhead","American Blonde Ale",188,12
"1986",6,NA,1482,"Socktoberfest","Märzen / Oktoberfest",309,16
"1024",7,60,1694,"Dry-Hopped On The High Seas Caribbean-Style IPA","American IPA",141,12
"2188",7,NA,2222,"10 Ton","Oatmeal Stout",94,16
"341",4.3,21,2129,"Monarch Classic American Wheat","American Pale Wheat Ale",213,12
"313",5.2,20,908,"Pumpkan","Pumpkin Ale",295,12
"820",5.7,42,2452,"Hustle","American Amber / Red Ale",93,12
"2164",7,NA,1003,"Big Elm IPA","American IPA",477,12
"335",6.6,20,1068,"Barn Burner Saison","Saison / Farmhouse Ale",125,12
"864",5.4,45,728,"Day Tripper Pale Ale","American Pale Ale (APA)",277,12
"1744",5.2,NA,2242,"Gunga Din","Cider",186,16
"1101",6.9,65,2219,"Scarecrow","American IPA",27,16
"898",6.5,47,2268,"Pretzel Stout","American Stout",161,16
"163",5,16,105,"Köld Lager (2010)","German Pilsener",45,16
"433",5.2,24,739,"Indianapolis Indians Lager","Dortmunder / Export Lager",25,16
"779",5.5,40,2054,"Pale Alement","American Pale Ale (APA)",24,16
"1877",5.6,NA,480,"Farmer Ted's Farmhouse Cream Ale","Cream Ale",331,12
"2139",6.8,NA,160,"Ice Pick Ale","American IPA",551,12
"1982",6,NA,1329,"I.W.A. (2011)","American Pale Wheat Ale",30,12
"1377",9.9,100,1006,"Elevation Triple India Pale Ale","American Double / Imperial IPA",110,12
"327",5.7,20,1318,"Wild Wolf Wee Heavy Scottish Style Ale","Scotch Ale / Wee Heavy",181,12
"1752",5.2,NA,2147,"#003 Brown & Robust Porter","American Porter",211,12
"1727",5.2,NA,2354,"Lighthouse Amber","Altbier",121,16
"1030",7.2,60,1456,"Powder Hound Winter Ale","English Strong Ale",336,12
"957",6,54,693,"Flying Jenny Extra Pale Ale (2012)","American Pale Ale (APA)",379,12
"179",4.6,17,1016,"Orange Wheat","Fruit / Vegetable Beer",476,12
"188",5.1,17,2384,"Laka Laka Pineapple","Hefeweizen",120,12
"1151",6.2,70,1659,"Evo IPA","American IPA",190,12
"1872",5.6,NA,1155,"Big Bend Hefeweizen","Hefeweizen",463,12
"488",9.2,25,1729,"Gran Met","Belgian Strong Pale Ale",322,12
"1525",4.7,NA,1421,"Live Local Golden Ale","American Blonde Ale",107,12
"558",6,29,603,"Midwest Charm Farmhouse Ale","Saison / Farmhouse Ale",471,16
"1060",5.5,65,1282,"Nice Rack IPA","American IPA",436,16
"1",5.6,4,1350,"Summer Solstice","Cream Ale",171,12
"1768",5.3,NA,927,"Dirty Hippie Dark Wheat","American Dark Wheat Ale",341,12
"455",4.9,25,673,"Dottie Seattle Lager","American Amber / Red Lager",516,16
"1870",5.5,NA,620,"B3K Black Lager","Schwarzbier",424,12
